sample_id,time,Valuetype,Source,Value
2384,"2017-09-25 22:59:14.022949",cows_readytime,gw#195,1200.0
2384,"2017-09-25 22:59:14.022949",mean_d18O,gw#195,-29.1637162850008
2384,"2017-09-25 22:59:14.022949",mean_d2H,gw#195,-118.27923195577
2386,"2017-09-25 23:18:43.369589",cows_switchtime,CoWSstd1,1020.0
2386,"2017-09-25 23:18:43.369589",std_d18O,CoWSstd1,0.176229649352125
2386,"2017-09-25 23:18:43.369589",std_d2H,CoWSstd1,0.451715081325725
2386,"2017-09-25 23:18:43.369589",std_H2O,CoWSstd1,30.4692097360608
2386,"2017-09-25 23:18:43.369589",mean_H2O,CoWSstd1,19873.2154113553
2386,"2017-09-25 23:18:43.369589",cows_readytime,CoWSstd1,1200.0
2386,"2017-09-25 23:18:43.369589",mean_d18O,CoWSstd1,-19.3065877614434
2386,"2017-09-25 23:18:43.369589",mean_d2H,CoWSstd1,-72.8819220771741
2387,"2017-09-25 23:41:56.876391",flushspeed,str#176,2.9413423295835
2387,"2017-09-25 23:41:56.876391",samplevol,str#176,68.6303405761719
2387,"2017-09-25 23:41:56.876391",sourceid,str#176,2.0
2387,"2017-09-25 23:41:56.876391",cows_switchtime,str#176,1020.0
2387,"2017-09-25 23:41:56.876391",std_d18O,str#176,0.209208328455601
2387,"2017-09-25 23:41:56.876391",std_d2H,str#176,0.342699092970624
2387,"2017-09-25 23:41:56.876391",std_H2O,str#176,85.0845782140602
2387,"2017-09-25 23:41:56.876391",mean_H2O,str#176,19708.4938482345
2387,"2017-09-25 23:41:56.876391",cows_readytime,str#176,1200.0
2387,"2017-09-25 23:41:56.876391",mean_d18O,str#176,-29.3295326026848
2387,"2017-09-25 23:41:56.876391",mean_d2H,str#176,-119.069045992765
2388,"2017-09-26 00:04:00.366155",flushspeed,gw#233,1.64122435360596
2388,"2017-09-26 00:04:00.366155",samplevol,gw#233,57.199951171875
2388,"2017-09-26 00:04:00.366155",sourceid,gw#233,8.0
2388,"2017-09-26 00:04:00.366155",cows_switchtime,gw#233,1020.0
2388,"2017-09-26 00:04:00.366155",std_d18O,gw#233,0.177470087047272
2388,"2017-09-26 00:04:00.366155",std_d2H,gw#233,0.387461321539182
2388,"2017-09-26 00:04:00.366155",std_H2O,gw#233,46.6221996550823
2388,"2017-09-26 00:04:00.366155",mean_H2O,gw#233,19885.8629489098
2388,"2017-09-26 00:04:00.366155",cows_readytime,gw#233,1200.0
2388,"2017-09-26 00:04:00.366155",mean_d18O,gw#233,-29.2186739644341
2388,"2017-09-26 00:04:00.366155",mean_d2H,gw#233,-118.75061158431
2390,"2017-09-26 00:29:14.850067",flushspeed,str#226,1.52209534043277
2390,"2017-09-26 00:29:14.850067",samplevol,str#226,60.9888381958008
2390,"2017-09-26 00:29:14.850067",sourceid,str#226,3.0
2391,"2017-09-26 00:48:34.433276",flushspeed,gw#125,1.88829032314094
2391,"2017-09-26 00:48:34.433276",samplevol,gw#125,64.54931640625
2390,"2017-09-26 00:29:14.850067",cows_switchtime,str#226,1020.0
2390,"2017-09-26 00:29:14.850067",std_d18O,str#226,0.167290284862282
2390,"2017-09-26 00:29:14.850067",std_d2H,str#226,0.397358072966202
2390,"2017-09-26 00:29:14.850067",std_H2O,str#226,49.2498191768626
2390,"2017-09-26 00:29:14.850067",mean_H2O,str#226,19966.1987332099
2390,"2017-09-26 00:29:14.850067",cows_readytime,str#226,1200.0
2390,"2017-09-26 00:29:14.850067",mean_d18O,str#226,-29.3639933014154
2390,"2017-09-26 00:29:14.850067",mean_d2H,str#226,-119.606459596199
2391,"2017-09-26 00:48:34.433276",sourceid,gw#125,7.0
2391,"2017-09-26 00:48:34.433276",cows_switchtime,gw#125,1020.0
2391,"2017-09-26 00:48:34.433276",std_d18O,gw#125,0.175925796187441
2391,"2017-09-26 00:48:34.433276",std_d2H,gw#125,0.431655213280503
2391,"2017-09-26 00:48:34.433276",std_H2O,gw#125,34.5371579665124
